total_timesteps,entropy_loss,eval_mean_reward
1000,,-2.900000
2000,,-2.900000
3000,,-5.590000
4000,,-5.590000
5000,,-5.390000
6000,,-5.390000
7000,,-5.390000
8000,,-5.390000
9000,,-5.190000
10000,,-5.190000
11000,,-5.390000
12000,,-5.390000
13000,,-43.190000
14000,,-43.190000
15000,,-6.190000
16000,,-6.190000
17000,,-5.190000
18000,,-5.190000
19000,,-5.190000
20000,,-5.190000
21000,,-5.790000
22000,,-5.790000
23000,,-33.500000
24000,,-33.500000
25000,,-5.790000
26000,,-5.790000
27000,,-4.700000
28000,,-4.700000
29000,,-4.700000
30000,,-4.700000
31000,,-4.700000
32000,,-4.700000
33000,,-5.090000
34000,,-5.090000
35000,,-5.090000
36000,,-5.090000
37000,,-4.100000
38000,,-4.100000
39000,,-4.700000
40000,,-4.700000
41000,,-5.290000
42000,,-5.290000
43000,,-5.290000
44000,,-5.290000
45000,,-5.290000
46000,,-5.590000
47000,,-5.590000
48000,,-4.800000
49000,,-4.800000
50000,,-4.400000
51000,,-4.400000
52000,,-4.400000
53000,,-4.400000
54000,,-4.400000
55000,,-4.400000
56000,,-4.400000
57000,,-4.400000
58000,,-5.190000
59000,,-5.190000
60000,,-4.800000
61000,,-4.800000
62000,,-5.790000
63000,,-5.790000
64000,,-5.990000
65000,,-5.990000
66000,,-5.990000
67000,,-5.990000
68000,,-5.790000
69000,,-5.790000
70000,,-5.690000
71000,,-5.690000
72000,,-5.690000
73000,,-5.690000
74000,,-5.690000
75000,,-5.690000
76000,,-5.690000
77000,,-5.690000
78000,,-5.690000
79000,,-5.690000
80000,,-5.690000
81000,,-5.690000
82000,,-5.690000
83000,,-5.690000
84000,,-5.490000
85000,,-5.490000
86000,,-5.490000
87000,,20.910000
88000,,20.910000
89000,,11.910000
90000,,11.910000
91000,,11.910000
92000,,11.910000
93000,,0.610000
94000,,0.610000
95000,,20.410000
96000,,20.410000
97000,,-8.290000
98000,,-8.290000
99000,,-5.990000
100000,,-5.990000
101000,,11.610000
102000,,11.610000
103000,,11.610000
104000,,11.610000
105000,,-8.590000
106000,,-8.590000
107000,,11.910000
108000,,11.910000
109000,,12.210000
110000,,12.210000
111000,,-5.690000
112000,,-5.690000
113000,,-5.590000
114000,,-5.590000
115000,,11.910000
116000,,11.910000
117000,,11.910000
118000,,11.910000
119000,,-16.890000
120000,,-16.890000
121000,,21.310000
122000,,21.310000
123000,,3.110000
124000,,3.110000
125000,,3.110000
126000,,3.110000
127000,,38.000000
128000,,38.000000
129000,,38.000000
